Name;Short description;Description;Categories;Download 1 URL
Cocaïne Blues - Reverend Gary Davis - Tr. Michel Lelong;;"<iframe src=""https://www.youtube.com/embed/xs8OQDvjulE"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Gary Davis, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/h4xumhhjanlvct8/Coca%C3%AEne%20Blues-G.Davis-Trans%20M.Lelong.pdf?dl=0
Big Bill Blues - Big Bill Bronzy - Tr. Michel Lelong;Big Bill Blues (Big Bill Broonzy) Tr. Michel Lelong;;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Big Bill Broonzy, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/jijig4tafdg555h/Big%20Bill%20Blues%20-%20Broonzy%20Trans.%20Lelong.pdf?dl=0
Blues in E - Big Bill Broonzy - Tr. Michel Lelong;Blues in E (Big Bill Broonzy);;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Big Bill Broonzy, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/4xak48n9a3io4ef/Blues%20in%20E%20Broonzy%20Trans.%20Lelong.pdf?dl=0
Glory Of Love - Big Bill Bronzy - Tr. Michel Lelong;"[caption id=""attachment_296"" align=""alignnone"" width=""257""]<img class=""size-medium wp-image-296"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/broonzy-257x300.jpg"" alt="""" width=""257"" height=""300"" /> <strong>Glory of Love (Big Bill Broonzy) Tr.Michel Lelong</strong>[/caption]";"<iframe src=""https://www.youtube.com/embed/2js1TDXvRRE"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""><span data-mce-type=""bookmark"" style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" class=""mce_SELRES_start"">﻿</span></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Big Bill Broonzy, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/xlcvg1989qds3bf/Glory%20of%20Love%20B.B.%20Broonzy%20Trans.%20Lelong.pdf?dl=0
Joe Turner (Big Bill Broonzy) Tr.Michel Lelong;"<ul>\n 	<li>Joe Turner by Big Bill Broonzy\nTranscription by Michel Lelong - Handwritten tab.</li>\n</ul>";"<iframe src=""https://www.youtube.com/embed/0icXQ1IghUY"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Big Bill Broonzy, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/kv84exfmvzy8kl7/Joe%20Turner%20r%C3%A9act%20Broonzy%20Tr%20Lelong.pdf?dl=0
Key To The Highway - Big Bill Bronzy - Tr. Michel Lelong;;https://www.youtube.com/watch?v=IEer4wMNIkU&amp;t=261s;https://dl.dropboxusercontent.com/s/8725n51wly6pohu/Key%20to%20the%20highway-Broonzy-Trans.%20Lelong.pdf?dl=0
Pig Meat Strut (Boogie) - Big Bill Broonzy - Tr. Michel Lelong;;"<iframe src=""https://www.youtube.com/embed/a8elJwhfanQ"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Big Bill Broonzy, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/uq9ixsse4zcfvt2/Pigmeat%20Strut%20Boogie%20in%20E%20Broonzy%20Tr%20Lelong.pdf?dl=0
Starvation Blues - Big Bill Bronzy - Tr. Michel Lelong;"[caption id=""attachment_296"" align=""alignnone"" width=""257""]<img class=""size-medium wp-image-296"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/broonzy-257x300.jpg"" alt="""" width=""257"" height=""300"" /> Big Bill Broonzy[/caption]\nStarvation Blues - B.B. Broonzy - Tr.Michel Lelong";"<iframe src=""https://www.youtube.com/embed/Q38SmkVsixQ"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Big Bill Broonzy, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/otg4yh5o7ah0eki/Starvation%20Blues-E-Broonzy-Trans.%20Lelong.pdf?dl=0
Willie Mae - Big Bill Broonzy -Tr. Michel Lelong;"[caption id=""attachment_296"" align=""alignnone"" width=""257""]<img class=""size-medium wp-image-296"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/broonzy-257x300.jpg"" alt="""" width=""257"" height=""300"" /> UNSPECIFIED - JANUARY 01: Photo of Big Bill BROONZY; posed (Photo by Gilles Petard/Redferns)[/caption]";https://youtu.be/E6ZqMxH1q8k;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Big Bill Broonzy, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/7cax4w6v7i4g6xg/Willie%20Mae-Broonzy-Trans.%20lelong.pdf?dl=0
Daisy - Brownie Mc Ghee Tr. Michel Lelong;;;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Brownie Mc Ghee, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/2xogu3dx8ubct1w/Daisy%20B%20Mc%20Ghee%20Trans%20Lelong.pdf?dl=0
"Drinkin&#039; the blues - Brownie Mc Ghee - Tr. Michel Lelong";"<img class=""alignnone size-medium wp-image-295"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/Brownie-McGhee-300x274.jpg"" alt="""" width=""300"" height=""274"" />\n<strong>Drinkin' the Blues - Brownie Mc Ghee Tr. Lelong</strong>";https://www.youtube.com/watch?v=iaddXNDpacA;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Brownie Mc Ghee, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/m1w2n67bdq84cyk/Drinkin%27%20the%20blues-basses%20monotones-by%20Lelong.pdf?dl=0
That's How I Feel - Browny Mc Ghee - Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-295"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/Brownie-McGhee-300x274.jpg"" alt="""" width=""300"" height=""274"" />\nThat's How I Feel - Brownie Mc Ghee - Tr. Lelong - Handwritten tab.";;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Brownie Mc Ghee, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/pfcef9g23jxdw5l/That%27s%20how%20I%20feel%20B%20Mc%20Ghee%20Tr%20Lelong.pdf?dl=0
Careless Love - Arrgt Etta Baker Tr. Michel Lelong;;"<iframe src=""https://www.youtube.com/embed/RfLSfqYKN6s"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Etta Baker, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/7s6k46u2n2wp2no/CARELESS%20LOVE%20arrgt%20Baker%20Tr%20Lelong%20GP%20revue.pdf?dl=0
Goin' Down The Road Feelin' Bad - Etta Baker - Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-304"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/Etta-Baker-22_b-300x201.jpg"" alt="""" width=""300"" height=""201"" />\nGoin down the road feelin bad Trad Arrgt Etta Baker Tr Lelong (handwritten tab)";"<iframe src=""https://www.youtube.com/embed/ztoS0z6sdHU"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>\n\n\n<iframe src=""https://www.youtube.com/embed/0fy5KsM2JOg"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Etta Baker, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/i4ju9v1ekg3ub9o/Goin%27%20down%20the%20road%20feelin%27%20bad%20Trad%20Aggrt%20Baker%20Trans%20Lelong%20.pdf?dl=0
I Get The Blues When It Rains - Etta Baker - Tr. Michel lelong;"<img class=""alignnone size-medium wp-image-304"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/Etta-Baker-22_b-300x201.jpg"" alt="""" width=""300"" height=""201"" />\nI get the blues E.Baker Tr Lelong (handwritten tab)";;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Etta Baker, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/yy7hdzirr8ksw0j/I%20get%20the%20blues%20E%20Baker%20Tr%20Lelong.pdf?dl=0
Lonesome Road Blues (E) - Etta Baker - Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-304"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/Etta-Baker-22_b-300x201.jpg"" alt="""" width=""300"" height=""201"" />\nLonesome Road Blues (Trad. arrgt. Etta Baker)";"Y<iframe src=""https://www.youtube.com/embed/Aa1Mb3Hlb6g"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Etta Baker, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/0scwn5tomlcqrby/Lonesome%20road%20blues%20E%20Baker%20Trans%20Lelong.pdf?dl=0
Raildoad Bill - Etta Baker - Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-304"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/Etta-Baker-22_b-300x201.jpg"" alt="""" width=""300"" height=""201"" />\nThe complete  Railroad Bill Etta Baker's version in the key of C with several variations.\nHandwritten tab.";"<iframe src=""https://www.youtube.com/embed/_zAqlXyaJ-M"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Etta Baker, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/ko6u6211pocdmpw/Raildoad%20Bill%20Arrgt%20Baker%20V.O%20Tr%20Lelong.pdf?dl=0
Sunny Tenessee - Etta baker - Tr. Michel Lelong;"SunnyTennesse E.Baker Trans Michel Lelong\n<img class=""alignnone size-medium wp-image-304"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/Etta-Baker-22_b-300x201.jpg"" alt="""" width=""300"" height=""201"" />\nSunnyTennesse E.Baker Trans Michel Lelong";"<iframe src=""https://www.youtube.com/embed/2WL5O6t8L_E"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Etta Baker, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/7tcmtr01jlgu99q/Sunny%20Tennesse%20E.Baker%20Trans.%20Lelong.pdf?dl=0
Avalon - Mississippi John Hurt - Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />";"<blockquote><iframe src=""https://www.youtube.com/embed/ZRTm9-CQu6c"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></blockquote>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/ycfcdix5o66urlx/Avalon%20J.Hurt%20Trans%20Lelong%20revue.pdf?dl=0
Beulah land - Mississippi John Hurt Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />\nBeulah land-Trad.arrgt Hurt-Trans. Lelong.pdf";"<blockquote><iframe src=""https://www.youtube.com/embed/c8FfDYfq2jA"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></blockquote>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/l94q2fkfb90fj1i/Beulah%20land-Trad.%20arrgt%20Hurt-Trans.%20Lelong.pdf?dl=0
Stocktime Buck Dance - Mississippi John Hurt Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />\nBuck Dance Trad arrgt. John Hurt Tr Lelong";"<ol>\n 	<li></li>\n</ol>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/8faa0rnyx0dex3f/Buck%20Dance%20Trad%20arrgt%20J%20Hurt%20Tr%20Lelong.pdf?dl=0
C.C. Rider (See See Rider) - Mississippi John Hurt Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />\nC.C.Rider J.Hurt Trans Lelong (handwritten tab)";"<iframe src=""https://www.youtube.com/embed/RZQR1B-UDdY"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/fkc00loxaqdlsrq/C.C.%20Rider%20J.hurt%20Trans%20Lelong.pdf?dl=0
Candy Man - Mississippi John Hurt Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />\nCandy man J.Hurt Tr Lelong (handwritten tab)";"<iframe src=""https://www.youtube.com/embed/mpvKgGbxvjA"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>\n\n<iframe src=""https://www.youtube.com/embed/5l5hNE7eOu8"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/2u597xrbfc9vd6a/Candy%20man%20J.Hurt%20Tr%20Lelong%20new.pdf?dl=0
Chicken  - Mississippi John Hurt Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />\nChicken John Hurt Tr. Lelong (handwritten tab)";"<iframe src=""https://www.youtube.com/embed/r3K2EPkAWCw"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""><span data-mce-type=""bookmark"" style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" class=""mce_SELRES_start"">﻿</span></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/zxhadghffky4u3j/Chicken-new-.pdf?dl=0
Coffee Blues - Mississippi John Hurt Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />\nCoffee Blues John Hurt Trans.Lelong (handwritten tab)";;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/iik7sey3ywccpc4/Coffee%20Blues%20-%20Hurt%20-%20Trans.%20Lelong.pdf?dl=0
Corrina Corrina - Mississippi John Hurt Tr. Michel Lelong;;;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/ovpkxf7dgpcuitx/Corrina%20Corrina.pdf?dl=0
First Shot Missed Him - Mississippi John Hurt - Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />";;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/eqkrufhsmpk5pgw/First%20Shot%20Missed%20Him%20-%20Hurt%20-%20trans.%20Lelong.pdf?dl=0
Funky Butt Hurt - Mississippi John Hurt - Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />\nFunky Butt - John Hurt Tr Lelong";"<iframe src=""https://www.youtube.com/embed/0NB4yUVGHrs"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/8y09totkx6gpop1/Funky%20Butt%20Hurt%20Tr%20Lelong.pdf?dl=0
Hot Time In The Old Town Tonight - Mississippi John Hurt - Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />";"<h3>French guitar lesson:</h3>\n<h3><iframe src=""https://www.youtube.com/embed/2TazRdxNDY0"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></h3>\n&nbsp;\n&nbsp;";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/ycp3tmagw1057wq/Hot%20time%20in%20the%20old%20town%20-%20Hurt%20-%20trans.%20M.Lelong.pdf?dl=0
I Shall Not Be Move - Mississippi John Hurt - Tr. Michel Lelong;"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />";"<iframe src=""https://www.youtube.com/embed/abhdnGihZwo"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/44d7puaykm8i9vr/I%20shall%20not%20be%20move%20-%20arrgt%20hurt-Trans.%20Lelong.pdf?dl=0
I'm Satisfied - Mississippi John Hurt - Tr. Michel Lelong;I'm satisfied John Hurt handwritten tab’Trans.Lelong;"<iframe src=""https://www.youtube.com/embed/U4IMg-3Y5nQ"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>";Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/9kh5f1h3favd5xt/I%27m%20satisfied%20-%20Hurt%20-Trans.%20Lelong.pdf?dl=0
"I&#039;ve Got The Blues - Mississippi John Hurt - Tr. Michel Lelong";"<img class=""alignnone size-medium wp-image-301"" src=""https://michel-lelong-music-house-shop.gobc.fr/wp-content/uploads/2018/10/John-Hurt-300x204.jpg"" alt="""" width=""300"" height=""204"" />";https://www.youtube.com/watch?v=U4IMg-3Y5nQ;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;https://dl.dropboxusercontent.com/s/6j2iaa5tkofpzrw/I%27ve%20got%20the%20blues-complete-trans.%20Lelong.pdf?dl=0
Let The Mermaids Flirt With Me - Mississippi John Hurt - Tr. Michel Lelong;;https://youtu.be/iVxtRilni78;Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking), Tablatures Transcription Guitar > Acoustic Country Blues (Finger-Picking) > Mississippi John Hurt, Tablatures Transcription Guitar;
